base-files	156-r42625
busybox	1.22.1-2
dnsmasq	2.71-4
dropbear	2014.63-2
firewall	2014-09-19
fstools	2014-06-22-e0430f5c62f367e5a8e02755412977b02c3fc45e
hostapd-common	2014-06-03-1
ip6tables	1.4.21-1
iptables	1.4.21-1
iw	3.15-1
jshn	2014-08-04-dffbc09baf71b294185a36048166d00066d433b5
jsonfilter	2014-06-19-cdc760c58077f44fc40adbbe41e1556a67c1b9a9
kernel	3.10.49-1-0114c71ed85677c9c1e4911437af4743
kmod-ath	3.10.49+2014-05-22-1
kmod-ath9k	3.10.49+2014-05-22-1
kmod-ath9k-common	3.10.49+2014-05-22-1
kmod-cfg80211	3.10.49+2014-05-22-1
kmod-crypto-aes	3.10.49-1
kmod-crypto-arc4	3.10.49-1
kmod-crypto-core	3.10.49-1
kmod-gpio-button-hotplug	3.10.49-1
kmod-ip6tables	3.10.49-1
kmod-ipt-conntrack	3.10.49-1
kmod-ipt-core	3.10.49-1
kmod-ipt-nat	3.10.49-1
kmod-ipt-nathelper	3.10.49-1
kmod-ipv6	3.10.49-1
kmod-lib-crc-ccitt	3.10.49-1
kmod-mac80211	3.10.49+2014-05-22-1
kmod-ppp	3.10.49-1
kmod-pppoe	3.10.49-1
kmod-pppox	3.10.49-1
kmod-slhc	3.10.49-1
kmod-tun	3.10.49-1
libblobmsg-json	2014-08-04-dffbc09baf71b294185a36048166d00066d433b5
libc	0.9.33.2-1
libgcc	4.8-linaro-1
libgmp	6.0.0-1
libgnutls	3.3.10-1
libip4tc	1.4.21-1
libip6tc	1.4.21-1
libiwinfo	51
libiwinfo-lua	51
libjson-c	0.11-2
libjson-script	2014-08-04-dffbc09baf71b294185a36048166d00066d433b5
liblua	5.1.5-1
libnettle	2.7.1-1
libnl-tiny	0.1-3
libpthread	0.9.33.2-1
libubox	2014-08-04-dffbc09baf71b294185a36048166d00066d433b5
libubus	2014-09-17-4c4f35cf2230d70b9ddd87638ca911e8a563f2f3
libubus-lua	2014-09-17-4c4f35cf2230d70b9ddd87638ca911e8a563f2f3
libuci	2014-04-11.1-1
libuci-lua	2014-04-11.1-1
libxml2	2.9.2-1
libxtables	1.4.21-1
lua	5.1.5-1
luci	0.12+svn-r10530-1
luci-app-firewall	0.12+svn-r10530-1
luci-base	0.12+svn-r10530-1
luci-lib-nixio	0.12+svn-r10530-1
luci-mod-admin-full	0.12+svn-r10530-1
luci-proto-openconnect	1
luci-proto-ppp	0.12+svn-r10530-1
luci-theme-bootstrap	0.12+svn-r10530-1
mtd	20
netifd	2014-09-08-46c569989f984226916fec28dd8ef152a664043e
odhcp6c	2014-08-25-0300fe7589a1701361735ac068e4b57bb1a1896f
odhcpd	2014-08-23-24452e1e3e9adfd9d8e183db1aa589f77727f5a7
openconnect	7.03-1
opkg	9c97d5ecd795709c8584e972bfdf3aee3a5b846d-7
ppp	2.4.7-2
ppp-mod-pppoe	2.4.7-2
procd	2014-09-15-c1a558f7d0c1e6c1ffa5a47d557a7b45205eef1d
resolveip	2
swconfig	10
uboot-envtools	2014.04-4
ubox	2014-09-16-5c45b560bc8c9e13682269ed963a8a4a65959518
ubus	2014-09-17-4c4f35cf2230d70b9ddd87638ca911e8a563f2f3
ubusd	2014-09-17-4c4f35cf2230d70b9ddd87638ca911e8a563f2f3
uci	2014-04-11.1-1
uhttpd	2014-08-25-dabd7dea6445aaa0e5b8d9add1872fa7393b3a85
uhttpd-mod-ubus	2014-08-25-dabd7dea6445aaa0e5b8d9add1872fa7393b3a85
wpad-mini	2014-06-03-1
zlib	1.2.8-1
